representation,config_id,family,n_seeds,n_train_samples,n_parameters,best_epoch_mean,time_s_mean,config_json,Macro_F1_mean,Macro_F1_std,Rare_Macro_SF_mean,Rare_Macro_SF_std,Min_Rare_F1_mean,Min_Rare_F1_std,Rare_HMean_SF_mean,Rare_HMean_SF_std,F1_N_mean,F1_N_std,F1_S_mean,F1_S_std,F1_V_mean,F1_V_std,F1_F_mean,F1_F_std,Precision_S_mean,Precision_S_std,Precision_F_mean,Precision_F_std,Recall_S_mean,Recall_S_std,Recall_F_mean,Recall_F_std
STFT_2D,BASELINE_CE,baseline,2,37862,318885,19.5,224.1766961812973,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.47078069281307694,0.031194449654167025,0.28815308866962136,0.0011237187764088657,0.2591362126245847,0.03758707142519855,0.28290967881377516,0.008487850446477986,0.9201275593407352,0.032421442217986006,0.3171699647146581,0.03533963387238094,0.3866890345723297,0.0946037939514997,0.2591362126245847,0.03758707142519855,0.7266672547635851,0.06218996655283946,0.24705882352941175,0.0665512264646162,0.20287958115183247,0.024063843338809236,0.2777777777777778,0.0
STFT_2D,CLASS_WEIGHT_P025,class_weight,2,37862,318885,10.0,161.60544741153717,"{""config_id"": ""CLASS_WEIGHT_P025"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.25}",0.45544544802111425,0.018796047149751333,0.2921049982492997,0.0728160910355018,0.24823529411764705,0.10149062035853977,0.2827446701617467,0.08376239033315597,0.9061186963816426,0.0313930986624958,0.3359747023809524,0.04414156171246377,0.3314530992042152,0.039054894809502305,0.24823529411764705,0.10149062035853977,0.6412587412587413,0.11570838237598047,0.3794642857142857,0.27147849634840665,0.2277486910994764,0.025914908211025253,0.19444444444444442,0.039283710065919346
STFT_2D,FOCAL_A050_G3,focal,2,37862,318885,8.5,148.24466729164124,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.4840451267823215,0.0774516256982352,0.2759338555370603,0.025295689872008108,0.2338830584707646,0.038164683842152505,0.2690166023349547,0.029852142711372136,0.9313322741470378,0.05737770925976338,0.317984652603356,0.012426695901863832,0.45298052190812765,0.20183741378916123,0.2338830584707646,0.038164683842152505,0.6355666297526763,0.0327581768323779,0.24350649350649345,0.041324422277135946,0.21204188481675385,0.00740425948886438,0.24999999999999994,0.11785113019775796
STFT_2D,FOCAL_A025_G3,focal,2,37862,318885,16.0,218.14272606372833,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.49979175618767147,0.09031266873493035,0.28044538898298765,0.01476764186205009,0.23385851096694465,0.004368901953577713,0.2725937814740633,0.011726265676001631,0.9340941682920827,0.06311774240974692,0.27309236947791166,0.05111615285685889,0.5041820784926276,0.26859764880587433,0.28779840848806365,0.08065143658095907,0.5862068965517242,0.10972346604618846,0.41477272727272724,0.05624713032165714,0.17801047120418845,0.03331916769988963,0.2222222222222222,0.07856742013183866
STFT_2D,WGAN_GP_X5,wgan_gp,2,41694,318885,13.5,213.9005445241928,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",0.44707027504787655,0.024797119330087977,0.27706964144523316,0.01820600055991095,0.2324500232450023,0.014464294919669038,0.2682846565199506,0.008260729159069459,0.9101327723341504,0.023046137040218607,0.30017102892221237,0.08130766976658681,0.32400904496688965,0.039730339160311275,0.25396825396825395,0.04489566864676492,0.5972640562248996,0.009761765302525094,0.3666666666666667,0.0471404520791032,0.20418848167539266,0.07404259488864372,0.19444444444444442,0.039283710065919304
STFT_2D,AUGMENT_X3,augmentation,2,40736,318885,22.5,266.75004172325134,"{""augment_multiplier"": 3, ""config_id"": ""AUGMENT_X3"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.48507915618163144,0.03274235460827738,0.27870067273690646,0.044679438678626844,0.22961816305469554,0.04743234342324623,0.26985162688697806,0.047067697531552266,0.9335059245755626,0.048191275632692626,0.32778318241911747,0.041926533934007415,0.44940935467715026,0.17213702015767046,0.22961816305469554,0.04743234342324623,0.7400563332195289,0.038445460875369694,0.20075757575757575,0.06963930420776607,0.21073298429319365,0.03146810282767355,0.2777777777777778,0.0
STFT_2D,FOCAL_A050_G1,focal,2,37862,318885,5.0,124.60616898536682,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G1"", ""family"": ""focal"", ""gamma"": 1.0, ""kind"": ""focal""}",0.4796255360867938,0.04573834352492517,0.3047591405539485,0.045980677540378906,0.22720897615708274,0.04760326156655579,0.2847308620342593,0.04982823115313323,0.9281734860761492,0.029683201898399812,0.3823093049508143,0.044358093514202064,0.38081037716312893,0.06130881712054298,0.22720897615708274,0.04760326156655579,0.6122187458394355,0.02285317149953858,0.41538461538461535,0.2610855807458022,0.28010471204188475,0.051829816422050576,0.1666666666666666,0.0
STFT_2D,FOCAL_A025_G1,focal,2,37862,318885,7.0,137.1852115392685,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G1"", ""family"": ""focal"", ""gamma"": 1.0, ""kind"": ""focal""}",0.4436626246909148,0.041460140510423175,0.25779620244104146,0.08035639717220384,0.21380090497737553,0.03039599285643529,0.24760968457781268,0.06647918024867941,0.9102318322038123,0.001921667444156377,0.30179149990470744,0.13031680148797248,0.3488262616777641,0.0032061002531283233,0.21380090497737553,0.03039599285643529,0.619322278298486,0.1315310378847363,0.19852941176470584,0.07279040394567407,0.20157068062827221,0.09995750309966903,0.25,0.039283710065919325
STFT_2D,AUGMENT_X1,augmentation,2,38820,318885,10.0,162.38387084007263,"{""augment_multiplier"": 1, ""config_id"": ""AUGMENT_X1"", ""family"": ""augmentation"", ""kind"": ""augmentation""}",0.5384806021684508,0.022120974689904573,0.276030896727285,0.012600595004401027,0.21214392803598195,0.007420910747085165,0.26123505778946454,0.01087835201136463,0.9735485481994552,0.00623249062664625,0.3399178654185881,0.01778027926171693,0.6283120670197782,0.10745259814177416,0.21214392803598195,0.007420910747085165,0.673109243697479,0.02257988040763765,0.2256493506493506,0.06657823589094121,0.2277486910994764,0.01851064872216095,0.2222222222222222,0.07856742013183866
STFT_2D,FOCAL_A050_G2,focal,2,37862,318885,12.0,176.87090015411377,"{""alpha_power"": 0.5, ""config_id"": ""FOCAL_A050_G2"", ""family"": ""focal"", ""gamma"": 2.0, ""kind"": ""focal""}",0.4497561134417945,0.0057156870774416205,0.28922954253210464,0.025479651389082494,0.20229885057471259,0.09102983849757851,0.25380053908355793,0.06800423167853373,0.8950866602628775,0.011793143974429586,0.37616023448949676,0.040070535719413575,0.3254787084400911,0.016303410493969002,0.20229885057471259,0.09102983849757851,0.7101018675721562,0.0006002604254554397,0.202020202020202,0.02856997095703223,0.256544502617801,0.03702129744432188,0.2222222222222222,0.15713484026367722
STFT_2D,SMOTE_X5,smote,2,41694,318885,5.0,129.2172691822052,"{""config_id"": ""SMOTE_X5"", ""family"": ""smote"", ""kind"": ""smote"", ""smote_factor"": 5}",0.4651125408621192,0.06938346993778532,0.2562589577043881,0.023037626475763337,0.2,0.0,0.24327457023363805,0.014089583219080977,0.9362942571947444,0.04054626503811326,0.3125179154087762,0.046075252951526674,0.4116379908449561,0.19091236176150106,0.2,0.0,0.5161637931034483,0.24230598751866606,0.203125,0.06629126073623882,0.23298429319371725,0.003702129744432229,0.2222222222222222,0.07856742013183866
STFT_2D,FOCAL_A025_G2,focal,2,37862,318885,10.0,161.24026358127594,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G2"", ""family"": ""focal"", ""gamma"": 2.0, ""kind"": ""focal""}",0.4303256258372278,0.0032977590922827855,0.2606935740078552,0.006691228704363413,0.19933829611248965,0.008188167854931051,0.2459137492708044,6.67315694871653e-05,0.8908680586457739,0.0019867918993106263,0.32204885190322086,0.021570625263658053,0.3090472966874266,0.001795370859714591,0.19933829611248965,0.008188167854931051,0.6453531369407124,0.0726455691013173,0.21062271062271054,0.028491482025831582,0.2146596858638743,0.011106389233296609,0.19444444444444442,0.039283710065919346
STFT_2D,SAMPLER_P050,sampler,2,37862,318885,1.5,91.73371207714081,"{""config_id"": ""SAMPLER_P050"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.5}",0.4940550344188538,0.0700693426725472,0.2876455662611622,0.04309518936681379,0.1883597883597883,0.056867846952568885,0.2519326271128612,0.05795345391556419,0.9421090157000795,0.041151151461079456,0.38693134416253616,0.029322531781058696,0.4588199894530109,0.15293584049548153,0.1883597883597883,0.056867846952568885,0.7003396739130434,0.12864347554467215,0.2287581699346405,0.009243225897863352,0.27225130890052357,0.04812768667761845,0.16666666666666666,0.07856742013183861
STFT_2D,WGAN_GP_X3,wgan_gp,2,39778,318885,12.0,195.3414969444275,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",0.43726981401052384,0.018962311401940317,0.23898473492959574,0.003885355458777857,0.1736111111111111,0.06874649261535877,0.21200818964973045,0.03980910862995087,0.9142041199984732,0.01832376453971378,0.30435835874808037,0.060975781697803065,0.35690566618443054,0.049754770150491574,0.1736111111111111,0.06874649261535877,0.7393545028630921,0.030698961765204584,0.164021164021164,0.02993044576450995,0.19240837696335078,0.04627662180540231,0.19444444444444445,0.11785113019775793
STFT_2D,SMOTE_X3,smote,2,39778,318885,11.5,177.94494652748108,"{""config_id"": ""SMOTE_X3"", ""family"": ""smote"", ""kind"": ""smote"", ""smote_factor"": 3}",0.4567889352228812,0.009427223295272187,0.2662878948000978,0.0029486299733606073,0.1602564102564102,0.009065471553673673,0.22384724167689765,0.006149058303722535,0.9284938738315593,0.004296565167448131,0.37231937934378534,0.01496273150039483,0.3660860774597703,0.027515068066919914,0.1602564102564102,0.009065471553673673,0.5995582569416766,0.0858401516286977,0.142156862745098,0.03466209711698759,0.2709424083769633,0.0018510648722160753,0.19444444444444442,0.039283710065919346
STFT_2D,CLASS_WEIGHT_P075,class_weight,2,37862,318885,6.5,132.20627629756927,"{""config_id"": ""CLASS_WEIGHT_P075"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.75}",0.43960934804097873,0.0023674161044717895,0.258459812736734,0.028779326094179256,0.1394230769230769,0.02039731099576576,0.20358981297752915,0.027168190446262005,0.9135675294834525,0.03201700526394636,0.37749654855039116,0.03716134119259267,0.32795023720699445,0.01607198250652488,0.1394230769230769,0.02039731099576576,0.593246143138847,0.18346144215508764,0.1149068322981366,0.03952770826508648,0.281413612565445,0.0018510648722160753,0.19444444444444442,0.039283710065919346
STFT_2D,CLASS_WEIGHT_P050,class_weight,2,37862,318885,4.5,117.96233749389648,"{""config_id"": ""CLASS_WEIGHT_P050"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 0.5}",0.4414917546289088,0.03636823668242377,0.2385227781127067,0.05283818161655612,0.12656846699399885,0.03857647469648379,0.18573663834155874,0.05114360338649961,0.9251662913881427,0.023306695688717516,0.3504770892314144,0.06709988853662843,0.3637551709020796,0.016489887807865405,0.12656846699399885,0.03857647469648379,0.6252257540184216,0.05443457928133752,0.1534552845528455,0.13653484596081714,0.2486910994764398,0.07404259488864373,0.25,0.19641855032959654
STFT_2D,SAMPLER_P075,sampler,2,37862,318885,6.0,128.34345531463623,"{""config_id"": ""SAMPLER_P075"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 0.75}",0.4390513566601568,0.04658709386887025,0.2233316661073251,0.003027196284653472,0.06961382113821135,0.039523244883394475,0.114196050270776,0.0547465203423802,0.9197680810471274,0.04662367616718113,0.37704951107643886,0.033468852314087486,0.38977401337884954,0.13367030673899305,0.06961382113821135,0.039523244883394475,0.6297175141242939,0.004314549851307758,0.03968253968253965,0.024692617755720694,0.2696335078534031,0.033319167699889705,0.3333333333333333,0.0
STFT_2D,SAMPLER_P100,sampler,2,37862,318885,5.0,119.77048110961914,"{""config_id"": ""SAMPLER_P100"", ""family"": ""sampler"", ""kind"": ""sampler"", ""sampler_power"": 1.0}",0.43743211837704565,0.03310764207594514,0.24509104322791553,0.01626667498977716,0.06668170539138275,0.015185329476417595,0.11443505791584425,0.020851466956726395,0.9117594191242602,0.06379710283402436,0.4235003810644483,0.04771867945597186,0.34778696792809133,0.10116681544931024,0.06668170539138275,0.015185329476417595,0.5563275758020583,0.18319199021981578,0.037897810218978104,0.008340763199981461,0.3507853403141361,0.011106389233296609,0.2777777777777778,0.07856742013183861
STFT_2D,CLASS_WEIGHT_P100,class_weight,2,37862,318885,10.5,164.74942135810852,"{""config_id"": ""CLASS_WEIGHT_P100"", ""family"": ""class_weight"", ""kind"": ""class_weight"", ""weight_power"": 1.0}",0.46173334870225013,0.020994791731185184,0.24639279910210685,0.04391985802978604,0.0581227001266815,0.0003839030603052339,0.10232933847543565,0.003067242203082287,0.9262708563909519,0.044215935637476715,0.4346628980775322,0.08745581299926701,0.4278769402138349,0.12760294734683608,0.0581227001266815,0.0003839030603052339,0.6523300438596491,0.13440456197224565,0.0324317226890756,0.0016712082538547152,0.32591623036649214,0.06478727052756326,0.3055555555555556,0.11785113019775793
