candidate_id,model_id,domain,trial_number,roles,seed,n_parameters,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4001,296070,5,43.50927424430847,"[[10752, 912, 336, 0], [208, 58, 116, 0], [281, 180, 278, 3], [13, 3, 1, 1]]",0.3671710543858832,0.0832395617411904,0.0755700325732899,0.9247441300421433,0.0755700325732899,0.3774609640190088,0.09090909090909091,0.05030355594102342,0.25,0.1518324607329843,0.05555555555555555
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4002,296070,5,43.633169174194336,"[[8273, 116, 3567, 44], [83, 94, 205, 0], [264, 24, 438, 16], [8, 0, 7, 3]]",0.3395077572679458,0.18963443963443963,0.07407407407407407,0.8021136319565639,0.3051948051948052,0.17664851784633998,0.07407407407407407,0.4017094017094017,0.047619047619047616,0.24607329842931938,0.16666666666666666
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4003,296070,9,58.0745415687561,"[[9703, 58, 2142, 97], [187, 26, 165, 4], [376, 23, 326, 17], [11, 0, 2, 5]]",0.31036372739525414,0.08863072705913067,0.07092198581560284,0.871122682587422,0.10633946830265849,0.19307077287533314,0.07092198581560284,0.24299065420560748,0.04065040650406504,0.06806282722513089,0.2777777777777778
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4004,296070,2,32.7220618724823,"[[9894, 0, 2097, 9], [196, 1, 184, 1], [437, 0, 300, 5], [13, 0, 1, 4]]",0.319962377120061,0.11071907416554937,0.005221932114882507,0.8779059449866903,0.005221932114882507,0.18050541516245489,0.21621621621621623,1.0,0.21052631578947367,0.002617801047120419,0.2222222222222222
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4005,296070,2,32.6825795173645,"[[8784, 5, 3193, 18], [169, 10, 203, 0], [158, 0, 564, 20], [9, 0, 4, 5]]",0.32145611236266186,0.1071561299913284,0.05037783375314862,0.8318181818181818,0.05037783375314862,0.23969400764980875,0.16393442622950818,0.6666666666666666,0.11627906976744186,0.02617801047120419,0.2777777777777778
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4006,296070,2,32.74457859992981,"[[9621, 0, 2131, 248], [188, 9, 184, 1], [298, 0, 444, 0], [11, 0, 5, 2]]",0.2960389863562944,0.03045284705121745,0.01486988847583643,0.8699701600506375,0.04603580562659847,0.253280091272105,0.01486988847583643,1.0,0.00796812749003984,0.02356020942408377,0.1111111111111111
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4007,296070,5,43.83730340003967,"[[8956, 215, 2085, 744], [178, 35, 163, 6], [274, 41, 412, 15], [8, 2, 2, 6]]",0.29934124906107545,0.05945641458949444,0.015209125475285171,0.8363840119536795,0.1037037037037037,0.24206815511163338,0.015209125475285171,0.11945392491467577,0.007782101167315175,0.09162303664921466,0.3333333333333333
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4008,296070,2,32.616421699523926,"[[8249, 218, 3523, 10], [111, 67, 204, 0], [76, 0, 665, 1], [5, 0, 11, 2]]",0.3488846450816323,0.16496590414470186,0.12903225806451613,0.8071033706765813,0.20089955022488756,0.2585034013605442,0.12903225806451613,0.23508771929824562,0.15384615384615385,0.17539267015706805,0.1111111111111111
CNN2D_T19_BOTH,CNN2D,STFT_2D,19,balanced_minrare_all_unique;rare_priority,4009,296070,8,54.62076425552368,"[[9632, 5, 2359, 4], [169, 11, 200, 2], [199, 1, 542, 0], [7, 0, 9, 2]]",0.34143852312990175,0.10449199922884134,0.05513784461152882,0.8753578406870541,0.05513784461152882,0.2814122533748702,0.15384615384615385,0.6470588235294118,0.25,0.028795811518324606,0.1111111111111111
CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,RAW_1D,16,balanced_minrare_all_unique;rare_priority,4000,250292,12,41.693278074264526,"[[8934, 9, 1021, 2036], [132, 51, 197, 2], [24, 24, 609, 85], [3, 0, 8, 7]]",0.38628752339967476,0.1127009055234533,0.006517690875232775,0.8471056748684398,0.21888412017167383,0.47264260768335276,0.006517690875232775,0.6071428571428571,0.0032863849765258214,0.13350785340314136,0.3888888888888889
