domain,metric,candidate_a,model_a,candidate_b,model_b,n_paired_seeds,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_0_05
STFT_2D,Min_Rare_F1,BILSTM2D_T7_BOTH,BILSTM2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.1440689161572469,0.00707035093791564,0.13699856521933126,0.125,10,0,0,0.001953125,0.01953125,True
STFT_2D,Macro_F1,BILSTM2D_T7_BOTH,BILSTM2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.48143803588992656,0.3737172618425457,0.10772077404738085,0.09512119260828802,10,0,0,0.001953125,0.01953125,True
STFT_2D,Rare_Macro_SF,BILSTM2D_T7_BOTH,BILSTM2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.25611231365795945,0.1576699040058221,0.09844240965213732,0.09358408911819664,8,0,2,0.01953125,0.13671875,False
STFT_2D,Min_Rare_F1,BILSTM2D_T7_BOTH,BILSTM2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.1440689161572469,0.033380891382190504,0.11068802477505642,0.09479024167806657,9,0,1,0.005859375,0.052734375,False
STFT_2D,Macro_F1,BILSTM2D_T7_BOTH,BILSTM2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.48143803588992656,0.431233643597302,0.05020439229262462,0.047004711696940066,7,0,3,0.10546875,0.31640625,False
STFT_2D,Rare_Macro_SF,VIT2D_T16_BOTH,VIT2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.15430449588841236,0.08112107457072254,0.07318342131768982,0.054168499761513285,9,0,1,0.01953125,0.13671875,False
STFT_2D,Min_Rare_F1,VIT2D_T16_BOTH,VIT2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.0690622738320474,0.00707035093791564,0.06199192289413176,0.06350806451612903,7,2,1,0.015625,0.095703125,False
STFT_2D,Macro_F1,VIT2D_T16_BOTH,VIT2D,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,10,0.3474724635256731,0.3737172618425457,-0.02624479831687253,-0.02223977710869926,3,0,7,0.130859375,0.31640625,False
STFT_2D,Rare_Macro_SF,VIT2D_T16_BOTH,VIT2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.15430449588841236,0.1576699040058221,-0.0033654081174097406,0.004065735509575633,6,0,4,0.921875,0.921875,False
STFT_2D,Min_Rare_F1,VIT2D_T16_BOTH,VIT2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.0690622738320474,0.033380891382190504,0.0356813824498569,0.02524216009903033,7,0,3,0.083984375,0.251953125,False
STFT_2D,Macro_F1,VIT2D_T16_BOTH,VIT2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.3474724635256731,0.431233643597302,-0.08376118007162875,-0.0770256715453132,0,0,10,0.001953125,0.01953125,True
STFT_2D,Rare_Macro_SF,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.08112107457072254,0.1576699040058221,-0.07654882943509957,-0.05800883843320537,3,0,7,0.083984375,0.3359375,False
STFT_2D,Min_Rare_F1,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.00707035093791564,0.033380891382190504,-0.02631054044427486,-0.028934236345984573,3,0,7,0.037109375,0.1484375,False
STFT_2D,Macro_F1,CNN_BILSTM2D_T13_BALANCED,CNN_BILSTM2D,CNN_BILSTM2D_T14_RARE,CNN_BILSTM2D,10,0.3737172618425457,0.431233643597302,-0.05751638175475622,-0.041281245347552814,2,0,8,0.02734375,0.13671875,False
