metric,candidate_a,candidate_b,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,CI95_low,CI95_high,cohens_dz,p_ttest,p_wilcoxon,p_ttest_holm,p_wilcoxon_holm
Macro_F1,CWT_T39_BALANCED,DWT_T39_BALANCED,10,0.3643744516770988,0.33072190200659335,0.033652549670505474,0.017559572608069878,0.04974552673294107,1.4959061780498373,0.001073187880288797,0.001953125,0.016097818204331954,0.041015625
Macro_F1,CWT_T39_BALANCED,SWT_T25_RARE,10,0.3643744516770988,0.32170262550276396,0.04267182617433484,0.02961455271762659,0.0557290996310431,2.337822336811192,4.134663191356986e-05,0.001953125,0.0008269326382713972,0.041015625
Macro_F1,CWT_T39_BALANCED,SWT_T0_BALANCED,10,0.3643744516770988,0.3559307677058577,0.0084436839712411,-0.009800162238887784,0.026687530181369983,0.331084113034063,0.32241127856355023,0.232421875,1.0,1.0
Macro_F1,DWT_T7_RARE,DWT_T39_BALANCED,10,0.3406471765017462,0.33072190200659335,0.009925274495152852,-0.0055892536473828094,0.025439802637688514,0.4576429001711875,0.1817598618372541,0.322265625,1.0,1.0
Macro_F1,DWT_T7_RARE,SWT_T25_RARE,10,0.3406471765017462,0.32170262550276396,0.018944550998982224,0.0015658998573910496,0.0363232021405734,0.7798139957788128,0.03580515025544201,0.064453125,0.3222463522989781,0.64453125
Macro_F1,DWT_T7_RARE,SWT_T0_BALANCED,10,0.3406471765017462,0.3559307677058577,-0.015283591204111519,-0.03485097813394124,0.004283795725718201,-0.5587471927330548,0.11104564877815715,0.232421875,0.8883651902252572,1.0
Macro_F1,DWT_T39_BALANCED,SWT_T25_RARE,10,0.33072190200659335,0.32170262550276396,0.00901927650382937,-0.009027623673957295,0.027066176681616035,0.3575130172202242,0.2874692580236481,0.322265625,1.0,1.0
Macro_F1,DWT_T39_BALANCED,SWT_T0_BALANCED,10,0.33072190200659335,0.3559307677058577,-0.025208865699264373,-0.03827428035626086,-0.012143451042267881,-1.3802345079376837,0.0018110577808551315,0.009765625,0.023373019952845412,0.1171875
Macro_F1,SWT_T25_RARE,SWT_T0_BALANCED,10,0.32170262550276396,0.3559307677058577,-0.03422814220309374,-0.05194784235785073,-0.016508442048336746,-1.3818144601933786,0.0017979246117573395,0.005859375,0.023373019952845412,0.08203125
Min_Rare_F1,STFT_T29_BALANCED,CWT_T42_RARE,10,0.02230067829234305,0.00257113821138211,0.01972954008096094,0.003983379472096784,0.0354757006898251,0.8963240690523634,0.019580467360846447,0.01171875,0.3609231550867256,0.2109375
Min_Rare_F1,STFT_T29_BALANCED,CWT_T39_BALANCED,10,0.02230067829234305,0.00867302827500079,0.013627650017342258,-0.004865198810069683,0.032120498844754194,0.5271569374345132,0.1298601253697268,0.078125,1.0,1.0
Min_Rare_F1,STFT_T29_BALANCED,DWT_T7_RARE,10,0.02230067829234305,0.0,0.02230067829234305,0.005100555090717447,0.03950080149396865,0.9274901137419836,0.016675960624750342,0.0078125,0.3460852449815175,0.1640625
Min_Rare_F1,STFT_T29_BALANCED,DWT_T39_BALANCED,10,0.02230067829234305,0.00035827089410433,0.02194240739823872,0.005060404701046097,0.03882441009543135,0.9297861721672377,0.01648024976102464,0.0078125,0.3460852449815175,0.1640625
Min_Rare_F1,STFT_T29_BALANCED,SWT_T25_RARE,10,0.02230067829234305,0.00113851992409867,0.021162158368244376,0.004382593071111513,0.037941723665377236,0.9021983505692655,0.018995955530880296,0.0078125,0.3609231550867256,0.1640625
Min_Rare_F1,STFT_T29_BALANCED,SWT_T0_BALANCED,10,0.02230067829234305,0.028734295724817095,-0.00643361743247404,-0.033513174044130276,0.020645939179182192,-0.16995598291392372,0.6039904449451541,0.65234375,1.0,1.0
Min_Rare_F1,CWT_T42_RARE,CWT_T39_BALANCED,10,0.00257113821138211,0.00867302827500079,-0.00610189006361868,-0.015571470441502509,0.003367690314265148,-0.4609527584544047,0.17892557586648605,0.25,1.0,1.0
Min_Rare_F1,CWT_T42_RARE,DWT_T7_RARE,10,0.00257113821138211,0.0,0.00257113821138211,-0.0021482637063650364,0.007290540129129256,0.3897276620679724,0.2490134436042286,0.5,1.0,1.0
Min_Rare_F1,CWT_T42_RARE,DWT_T39_BALANCED,10,0.00257113821138211,0.00035827089410433,0.00221286731727778,-0.002646741371547798,0.007072476006103358,0.3257443178687526,0.32985255069801633,0.625,1.0,1.0
Min_Rare_F1,CWT_T42_RARE,SWT_T25_RARE,10,0.00257113821138211,0.00113851992409867,0.0014326182872834402,-0.0042449603057770225,0.007110196880343903,0.18050536309722254,0.5820994682997567,0.75,1.0,1.0
Min_Rare_F1,CWT_T42_RARE,SWT_T0_BALANCED,10,0.00257113821138211,0.028734295724817095,-0.02616315751343498,-0.05404498142921001,0.0017186664023400473,-0.6712615166867641,0.06276010185321407,0.109375,0.878641425944997,1.0
Min_Rare_F1,CWT_T39_BALANCED,DWT_T7_RARE,10,0.00867302827500079,0.0,0.00867302827500079,-0.0035633852208015095,0.02090944177080309,0.5070366962086026,0.14331185155880438,0.25,1.0,1.0
Min_Rare_F1,CWT_T39_BALANCED,DWT_T39_BALANCED,10,0.00867302827500079,0.00035827089410433,0.008314757380896461,-0.004077131181049505,0.020706645942842425,0.47999294734682124,0.16335986491834784,0.3125,1.0,1.0
Min_Rare_F1,CWT_T39_BALANCED,SWT_T25_RARE,10,0.00867302827500079,0.00113851992409867,0.0075345083509021195,-0.005411230669248803,0.020480247371053042,0.4163425953246055,0.22051489245826755,0.375,1.0,1.0
Min_Rare_F1,CWT_T39_BALANCED,SWT_T0_BALANCED,10,0.00867302827500079,0.028734295724817095,-0.0200612674498163,-0.05329138458911671,0.013168849689484115,-0.4318662541256185,0.20519339176992896,0.25,1.0,1.0
Min_Rare_F1,DWT_T7_RARE,DWT_T39_BALANCED,10,0.0,0.00035827089410433,-0.00035827089410433,-0.0009018733850544528,0.0001853315968457928,-0.4714686974009199,0.1701750454844844,0.5,1.0,1.0
Min_Rare_F1,DWT_T7_RARE,SWT_T25_RARE,10,0.0,0.00113851992409867,-0.00113851992409867,-0.0037140309254505817,0.0014369910772532417,-0.31622776601683794,0.34343639613791355,1.0,1.0,1.0
Min_Rare_F1,DWT_T7_RARE,SWT_T0_BALANCED,10,0.0,0.028734295724817095,-0.028734295724817095,-0.05464004659555251,-0.0028285448540816827,-0.7934638524096801,0.03335708113112134,0.0625,0.566787461968311,1.0
Min_Rare_F1,DWT_T39_BALANCED,SWT_T25_RARE,10,0.00035827089410433,0.00113851992409867,-0.00078024902999434,-0.0034991860911117835,0.0019386880311231033,-0.20528482986206395,0.532444571528668,1.0,1.0,1.0
Min_Rare_F1,DWT_T39_BALANCED,SWT_T0_BALANCED,10,0.00035827089410433,0.028734295724817095,-0.02837602483071276,-0.05423510758254452,-0.002516942078881,-0.7849847390936203,0.03485737348516358,0.0625,0.566787461968311,1.0
Min_Rare_F1,SWT_T25_RARE,SWT_T0_BALANCED,10,0.00113851992409867,0.028734295724817095,-0.027595775800718418,-0.05247206499294729,-0.002719486608489547,-0.7935600298985385,0.03334043893931241,0.0625,0.566787461968311,1.0
