representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6100,1130000,1130000,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",16,257.49635910987854,"[[10786, 29, 1130, 55], [185, 81, 116, 0], [40, 24, 665, 13], [10, 0, 6, 2]]",0.4491633859276506,0.17970401691331925,0.045454545454545456,0.07941176470588235,0.9370574692671908,0.313953488372093,0.5001880406167732,0.045454545454545456,0.6044776119402985,0.02857142857142857,0.21204188481675393,0.1111111111111111
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6101,1130100,1130100,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",8,178.01312589645386,"[[11824, 4, 81, 91], [334, 33, 15, 0], [137, 26, 575, 4], [11, 0, 5, 2]]",0.4917567802240665,0.0915486077186126,0.034782608695652174,0.05635005336179296,0.9729284950218053,0.14831460674157304,0.8110014104372355,0.034782608695652174,0.5238095238095238,0.020618556701030927,0.08638743455497382,0.1111111111111111
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6102,1130200,1130200,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",15,245.55432605743408,"[[10479, 126, 1377, 18], [215, 37, 130, 0], [30, 20, 688, 4], [6, 0, 10, 2]]",0.4037921022246198,0.11310577328276443,0.09523809523809523,0.11028315946348732,0.9220413550373955,0.13097345132743363,0.4669155072955548,0.09523809523809523,0.20218579234972678,0.08333333333333333,0.0968586387434555,0.1111111111111111
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6103,1130300,1130300,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",14,237.3789484500885,"[[11784, 22, 112, 82], [291, 44, 47, 0], [83, 23, 633, 3], [10, 0, 3, 5]]",0.5195713481320372,0.13971455531965085,0.09259259259259259,0.12382158435345435,0.9751737835153923,0.18683651804670912,0.8236824983734548,0.09259259259259259,0.4943820224719101,0.05555555555555555,0.11518324607329843,0.2777777777777778
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6104,1130400,1130400,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",31,346.018714427948,"[[11194, 21, 780, 5], [109, 126, 147, 0], [55, 34, 600, 53], [6, 1, 3, 8]]",0.5309200115766706,0.31864235055724416,0.19047619047619047,0.2670906200317965,0.9582263311076871,0.44680851063829785,0.528169014084507,0.19047619047619047,0.6923076923076923,0.12121212121212122,0.3298429319371728,0.4444444444444444
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6105,1130500,1130500,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",17,266.27381110191345,"[[10472, 49, 1390, 89], [185, 33, 163, 1], [46, 16, 678, 2], [4, 0, 10, 4]]",0.3961525282169194,0.10383771929824562,0.07017543859649122,0.09292502639915523,0.9223587439996477,0.1375,0.4545759302715387,0.07017543859649122,0.336734693877551,0.041666666666666664,0.08638743455497382,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6106,1130600,1130600,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",6,157.82992386817932,"[[10675, 4, 1299, 22], [257, 30, 94, 1], [210, 20, 509, 3], [10, 0, 7, 1]]",0.37205792757191936,0.09102956167176351,0.044444444444444446,0.0671892497200448,0.9221665514858327,0.13761467889908258,0.38400603545831763,0.044444444444444446,0.5555555555555556,0.037037037037037035,0.07853403141361257,0.05555555555555555
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6107,1130700,1130700,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",17,266.51150918006897,"[[10874, 11, 1096, 19], [259, 72, 51, 0], [85, 74, 583, 0], [10, 0, 7, 1]]",0.43160693308703274,0.15989649448296064,0.05263157894736842,0.08793893129770992,0.9362837954193215,0.26716141001855287,0.4703509479628883,0.05263157894736842,0.4585987261146497,0.05,0.18848167539267016,0.05555555555555555
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6108,1130800,1130800,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",11,207.3319616317749,"[[11596, 129, 241, 34], [270, 15, 97, 0], [78, 23, 595, 46], [10, 0, 4, 4]]",0.452505105424941,0.0665380906460945,0.0546448087431694,0.0644122383252818,0.9681890289721967,0.0546448087431694,0.7087552114353782,0.0784313725490196,0.08982035928143713,0.047619047619047616,0.03926701570680628,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,WGAN_GP_X3,wgan_gp,"{""config_id"": ""WGAN_GP_X3"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 3}",6109,1130900,1130900,1,328228,39778,"{""N"": 33858, ""S"": 1686, ""V"": 3046, ""F"": 1188}",11,206.865727186203,"[[11043, 13, 938, 6], [177, 77, 128, 0], [50, 24, 668, 0], [11, 0, 6, 1]]",0.4693575112313316,0.19524193548387098,0.08,0.1272201569599339,0.9486705897512994,0.31048387096774194,0.5382755842062853,0.08,0.6754385964912281,0.14285714285714285,0.20157068062827224,0.05555555555555555
