number,values_0,values_1,params_dropout,params_ff_multiplier,params_head_dim,params_learning_rate,params_model_head_pair,params_n_layers,params_patch_size,params_rr_dim,params_transformer_dropout,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
23,,,0.6,2,64,,112x4,5,16,32,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,554020,,PRUNED
24,0.20372755016030553,0.4062185707588568,0.30000000000000004,4,128,0.0006322475943664344,96x4,4,16,32,0.1,1.0666846440846782e-06,0.04608348968105066,0.05721196986617235,0.8413455532366959,0.029850209759005795,0.36137161063956036,0.08103880443553933,0.3760736294781203,0.2064284894034971,0.4062185707588568,0.0650263834329674,0.04608348968105066,0.05721196986617235,0.02510332121694966,0.031487606155212344,0.6641009595327493,0.24210368599073828,0.20372755016030553,0.011913417284683498,0.41666666666666663,0.11785113019775793,0.274869109947644,0.12587241131069435,7.5,STFT_2D,VIT2D,495748,82.45277523994446,COMPLETE
25,0.1734712442029515,0.34074201711352486,0.30000000000000004,2,128,0.00017846962946653435,112x4,4,16,16,0.30000000000000004,0.00017654491739063966,0.12804138950480415,0.1617617819015966,0.7907347070019182,0.03970069753894367,0.21890109890109888,0.029838352085234533,0.22529087304627812,0.011828487461795066,0.34074201711352486,0.03994890997337766,0.10573036719378183,0.13020923155894013,0.13680900364117843,0.1836464682287207,0.41719353705655077,0.28177472541487114,0.1734712442029515,0.06596171490818102,0.3055555555555556,0.11785113019775793,0.19240837696335078,0.1055106977163173,7.0,STFT_2D,VIT2D,459844,82.64140844345093,COMPLETE
26,0.09366476682392785,0.32638584336272186,0.30000000000000004,2,64,0.0004275671522602513,96x4,2,32,16,0.0,1.7882479263329458e-05,0.08095916429249762,0.060100718818799616,0.8489317954325952,0.06834549902668074,0.1063703693553581,0.07379815697647032,0.26928204437043635,0.054982834560678005,0.32638584336272186,0.027407723857422062,0.046324365289882534,0.011119716339235213,0.05020885547201336,0.04123312725716041,0.3137363996043521,0.20449094475708884,0.09366476682392785,0.006848719078835357,0.25,0.039283710065919325,0.08900523560209424,0.08514898412194027,4.5,STFT_2D,VIT2D,257460,56.47983145713806,COMPLETE
27,,,0.2,4,128,,80x4,2,16,16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,194692,,PRUNED
28,,,0.4,2,64,,80x4,4,16,32,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,241972,,PRUNED
29,0.1119061600180183,0.34710257624391905,0.4,2,128,0.00037700974790401724,96x8,2,32,16,0.2,3.232868428442649e-05,0.08738277919863598,0.040388878379794275,0.8742846097008672,0.02640496513216332,0.13642954083740064,0.06466716796982909,0.29031337523877243,0.009092952952434011,0.34710257624391905,0.002804907123640621,0.07476323862878484,0.022542152954993313,0.05534471853257432,0.032649459219872216,0.32654280747501085,0.017593160896536217,0.1119061600180183,0.012139144795017404,0.2777777777777778,0.07856742013183861,0.09031413612565445,0.053680881294266694,9.0,STFT_2D,VIT2D,264948,79.14982533454895,COMPLETE
30,,,0.4,4,64,,112x8,5,32,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,885556,,PRUNED
31,0.0,0.37832486196338744,0.5,4,64,0.0014299399985350596,96x8,3,32,16,0.0,3.346801209871424e-05,0.0,0.0,0.9502699738080391,0.026152916058839053,0.0,0.0,0.5630294740455107,0.12786091423867132,0.37832486196338744,0.03850345757437759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,STFT_2D,VIT2D,443412,48.052534341812134,COMPLETE
32,0.1600775080521916,0.34977820847966823,0.4,2,64,0.00013572915538349707,96x8,3,16,32,0.0,1.5669413899053796e-06,0.17692750287686998,0.0711988991413382,0.8422783608059173,0.03633471280184006,0.14322751322751323,0.13790452885997956,0.23667945700837242,0.015901959477264926,0.34977820847966823,0.011568219098516562,0.08614828209764919,0.0571823060662973,0.1371374527112232,0.07802250107669977,0.1885745833114254,0.1480094692625083,0.1600775080521916,0.03335281485932067,0.2777777777777778,0.0,0.11780104712041885,0.12217028156626214,12.0,STFT_2D,VIT2D,264228,100.8829562664032,COMPLETE
33,0.037577080302085494,0.31536825675244223,0.6,2,64,0.00018746153242959413,112x8,4,32,16,0.2,3.2700678182176306e-05,0.027450980392156862,0.038821548771026136,0.8758319316411922,0.013895976871570652,0.04770318021201413,0.06746248442415824,0.31048693476440575,0.028932863492723192,0.31536825675244223,0.022811786643507966,0.027450980392156862,0.038821548771026136,0.014767932489451477,0.020885010414792543,0.07336956521739131,0.10376023419585209,0.037577080302085494,0.053142016597592184,0.19444444444444445,0.27498597046143514,0.03534031413612566,0.04997875154983451,4.0,STFT_2D,VIT2D,531972,62.534363985061646,COMPLETE
34,,,0.6,4,64,,112x4,4,16,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,654036,,PRUNED
35,0.12140329984886429,0.4745514112012055,0.5,4,64,0.0015451786399415166,64x4,4,32,32,0.30000000000000004,6.680947088924947e-05,0.061855670103092786,0.08747712756946979,0.9744609071400423,0.0028594312751187376,0.1809509295946358,0.22659313311171475,0.6809381379670513,0.038445553141282535,0.4745514112012055,0.06962103470375518,0.061855670103092786,0.08747712756946979,0.0379746835443038,0.053704312495180824,0.83984375,0.226495140848816,0.12140329984886429,0.15703513034059227,0.16666666666666666,0.23570226039551584,0.11910994764397906,0.1536383843939357,8.0,STFT_2D,VIT2D,273444,83.26360034942627,COMPLETE
36,,,0.30000000000000004,2,128,,64x4,5,16,16,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,199124,,PRUNED
37,0.1059353025764867,0.3364024572005355,0.5,2,128,0.0003949957381116206,80x4,5,32,32,0.30000000000000004,0.0008061355529169487,0.10878378378378378,0.058288531962674854,0.8491664310591142,0.0817287684303129,0.10308682136918962,0.0005111738460106598,0.2845727925900546,0.030852757928550915,0.3364024572005355,0.013701042060549931,0.08514646722193892,0.024860318302807678,0.08741258741258741,0.06922723731896269,0.18917363124680198,0.14638424964440935,0.1059353025764867,0.02888867905833209,0.2222222222222222,0.07856742013183864,0.09554973821989529,0.046276621805402325,6.0,STFT_2D,VIT2D,359140,76.95624542236328,COMPLETE
38,0.23839226051677415,0.3946163554203186,0.5,4,128,0.0008672161426438575,64x4,5,16,16,0.30000000000000004,1.521356211949832e-06,0.08031158796480987,0.09053556074654223,0.8492929543447575,0.046341014322877544,0.39647293306873843,0.05241768319617002,0.25238794630296857,0.03220346625386664,0.3946163554203186,0.010106650756592998,0.08031158796480987,0.09053556074654223,0.04853212727807959,0.056675269881277864,0.9623600698367054,0.040013950542650466,0.23839226051677415,0.019058938775186107,0.3055555555555556,0.11785113019775793,0.25,0.038872362316537956,7.0,STFT_2D,VIT2D,281684,87.54079484939575,COMPLETE
39,0.18118705062049942,0.35736365344025445,0.2,4,64,0.00012331838239138809,112x4,3,16,32,0.2,1.7835979540374917e-05,0.08699633699633699,0.022016145201778952,0.820488891520421,0.006169987320641256,0.2753777642446618,0.005221280993803153,0.24659162099959775,0.021346426249601206,0.35736365344025445,0.0004046063197540061,0.08699633699633699,0.022016145201778952,0.0803030303030303,0.027855721683106422,0.5438600700609434,0.2565590658165692,0.18118705062049942,0.0083974321039879,0.19444444444444442,0.19641855032959654,0.1950261780104712,0.031468102827673594,6.5,STFT_2D,VIT2D,502052,72.24625611305237,COMPLETE
