fold_id,record_id,config_id,family,seed,n_beats,confusion_json,Accuracy,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,Precision_N,Recall_N,Support_N,Predicted_N,F1_S,Precision_S,Recall_S,Support_S,Predicted_S,F1_V,Precision_V,Recall_V,Support_V,Predicted_V,F1_F,Precision_F,Recall_F,Support_F,Predicted_F
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8200,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [1, 0, 70, 0], [11, 0, 0, 0]]",0.995105421686747,0.7118819640775452,0.42857142857142855,0.0,0.0,0.9974771977488841,0.9953524399690162,0.999611046285492,2571,2582,0.8571428571428571,0.75,1.0,3,4,0.9929078014184397,1.0,0.9859154929577465,71,70,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8201,2656,"[[2570, 1, 0, 0], [0, 3, 0, 0], [1, 1, 69, 0], [11, 0, 0, 0]]",0.9947289156626506,0.6832978708657924,0.375,0.0,0.0,0.9974771977488841,0.9953524399690162,0.999611046285492,2571,2582,0.75,0.6,1.0,3,5,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8202,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9958584337349398,0.7494663302930332,0.5,0.0,0.0,0.9978653211721328,0.9957397366382649,1.0,2571,2582,1.0,1.0,1.0,3,3,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8203,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [2, 0, 69, 0], [11, 0, 0, 0]]",0.995105421686747,0.7457981155604823,0.5,0.0,0.0,0.997478176527643,0.9949690402476781,1.0,2571,2584,1.0,1.0,1.0,3,3,0.9857142857142858,1.0,0.971830985915493,71,69,0.0,0.0,0.0,11,0
HOLDOUT_205,205,WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8204,2656,"[[2571, 0, 0, 0], [0, 3, 0, 0], [0, 0, 71, 0], [11, 0, 0, 0]]",0.9958584337349398,0.7494663302930332,0.5,0.0,0.0,0.9978653211721328,0.9957397366382649,1.0,2571,2582,1.0,1.0,1.0,3,3,1.0,1.0,1.0,71,71,0.0,0.0,0.0,11,0
HOLDOUT_208,208,BASELINE_CE,baseline,8200,2951,"[[1538, 42, 5, 0], [2, 0, 0, 0], [13, 11, 968, 0], [249, 4, 119, 0]]",0.849203659776347,0.45929026360811664,0.0,0.0,0.0,0.9081783289046353,0.853496115427303,0.9703470031545741,1585,1802,0.0,0.0,0.0,2,57,0.9289827255278311,0.8864468864468864,0.9758064516129032,992,1092,0.0,0.0,0.0,372,0
HOLDOUT_208,208,BASELINE_CE,baseline,8201,2951,"[[1566, 15, 4, 0], [2, 0, 0, 0], [39, 24, 929, 0], [248, 2, 122, 0]]",0.8454761097932905,0.45453371922609376,0.0,0.0,0.0,0.9104651162790698,0.8442048517520215,0.98801261829653,1585,1855,0.0,0.0,0.0,2,41,0.9076697606253054,0.8805687203791469,0.936491935483871,992,1055,0.0,0.0,0.0,372,0
HOLDOUT_208,208,BASELINE_CE,baseline,8202,2951,"[[1544, 35, 6, 0], [2, 0, 0, 0], [15, 66, 911, 0], [241, 6, 125, 0]]",0.8319213825821755,0.4518732913369094,0.0,0.0,0.0,0.9117212872748746,0.8568257491675916,0.9741324921135647,1585,1802,0.0,0.0,0.0,2,107,0.895771878072763,0.8742802303262955,0.9183467741935484,992,1042,0.0,0.0,0.0,372,0
HOLDOUT_208,208,BASELINE_CE,baseline,8203,2951,"[[1564, 17, 4, 0], [2, 0, 0, 0], [57, 9, 926, 0], [292, 0, 80, 0]]",0.843781768891901,0.4546973026973027,0.0,0.0,0.0,0.8937142857142857,0.816710182767624,0.9867507886435332,1585,1915,0.0,0.0,0.0,2,26,0.9250749250749251,0.9168316831683169,0.9334677419354839,992,1010,0.0,0.0,0.0,372,0
HOLDOUT_208,208,BASELINE_CE,baseline,8204,2951,"[[1547, 35, 3, 0], [2, 0, 0, 0], [13, 34, 945, 0], [224, 4, 144, 0]]",0.8444595052524568,0.45618458159837977,0.0,0.0,0.0,0.9178285375259567,0.8661814109742442,0.97602523659306,1585,1786,0.0,0.0,0.0,2,73,0.9069097888675623,0.8653846153846154,0.9526209677419355,992,1092,0.0,0.0,0.0,372,0
