config_id,family,seed,n_folds,n_validation_records,RecordMacro_F1_F,RecordMacro_Recall_F,RecordMacro_Precision_F,RecordMedian_F1_F,RecordWorst_F1_F,oof_confusion_json,WGAN_QA_fold_pass_rate,WGAN_QA_all_folds_passed,OOF_Accuracy,OOF_Macro_F1,OOF_Rare_Macro_SF,OOF_Min_Rare_F1,OOF_Rare_HMean_SF,OOF_F1_N,OOF_Precision_N,OOF_Recall_N,OOF_F1_S,OOF_Precision_S,OOF_Recall_S,OOF_F1_V,OOF_Precision_V,OOF_Recall_V,OOF_F1_F,OOF_Precision_F,OOF_Recall_F
WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8200,4,10,0.04212121212121212,0.12142857142857141,0.0564516129032258,0.0,0.0,"[[17514, 728, 2805, 100], [88, 66, 104, 0], [299, 302, 1867, 19], [233, 2, 174, 5]]",0.0,False,0.8002962231547766,0.37743637317625456,0.05796624666907919,0.01858736059479554,0.031214528944381384,0.8917288256408951,0.9658100805117459,0.8282025819265144,0.09734513274336283,0.060109289617486336,0.2558139534883721,0.5020841737259648,0.37717171717171716,0.7507036590269401,0.01858736059479554,0.04032258064516129,0.012077294685990338
WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8201,4,10,0.02622486165474423,0.12857142857142856,0.023739055370575905,0.0,0.0,"[[16596, 513, 2976, 1062], [98, 33, 124, 3], [295, 248, 1922, 22], [268, 2, 138, 6]]",0.0,False,0.7634740393318522,0.3593867990182193,0.035290717952527674,0.007962840079628402,0.01412898046561413,0.8642849703155921,0.9616967027872747,0.7847921691020003,0.06261859582542695,0.0414572864321608,0.12790697674418605,0.5026807898522296,0.37248062015503874,0.7728186570164858,0.007962840079628402,0.0054894784995425435,0.014492753623188406
WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8202,4,10,0.015017860500094002,0.11428571428571428,0.015486241400875548,0.0,0.0,"[[16646, 316, 1825, 2360], [111, 19, 126, 2], [215, 243, 2003, 26], [258, 13, 139, 4]]",0.0,False,0.7682053813873118,0.3809807312257434,0.02380478647891486,0.002851033499643621,0.005360606594956798,0.8674987622794903,0.9661056297156123,0.7871565706719629,0.0447585394581861,0.032148900169204735,0.07364341085271318,0.6088145896656535,0.4893720987051063,0.8053880176919984,0.002851033499643621,0.0016722408026755853,0.00966183574879227
WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8203,4,10,0.038940904057183125,0.12857142857142856,0.0575674855929633,0.0,0.0,"[[16226, 1249, 3039, 633], [108, 28, 120, 2], [238, 132, 2109, 8], [269, 5, 134, 6]]",0.0,False,0.7557393236237966,0.3584299808577227,0.02239081411730815,0.011288805268109126,0.0168861192079606,0.8542697694008634,0.9634819785048394,0.7672955974842768,0.03349282296650718,0.019801980198019802,0.10852713178294573,0.5346685257954114,0.3904109589041096,0.8480096501809409,0.011288805268109126,0.009244992295839754,0.014492753623188406
WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,8204,4,10,0.13846153846153847,0.13571428571428573,0.14166666666666666,0.0,0.0,"[[16809, 420, 3867, 51], [110, 32, 115, 1], [255, 303, 1916, 13], [273, 5, 129, 7]]",0.0,False,0.7719904550316794,0.3532063032255988,0.045837476856904924,0.02880658436213992,0.039509656936237765,0.8710680416645075,0.963432108671978,0.7948645197900411,0.06286836935166994,0.042105263157894736,0.12403100775193798,0.450082217524078,0.31790277086444335,0.7704061117812626,0.02880658436213992,0.09722222222222222,0.016908212560386472
WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8200,4,10,0.019656497834865956,0.12142857142857141,0.017798116225342102,0.0,0.0,"[[16594, 182, 2850, 1521], [106, 21, 128, 3], [173, 317, 1975, 22], [299, 0, 110, 5]]",0.0,False,0.7650374393153954,0.3620875501497248,0.0295368171798243,0.005089058524173028,0.009301295537592737,0.866097758292231,0.9663405543908689,0.7846975930392017,0.05398457583547558,0.04038461538461539,0.08139534883720931,0.5231788079470199,0.3900849298834683,0.794129473260957,0.005089058524173028,0.003223726627981947,0.012077294685990338
WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8201,4,10,0.036571428571428574,0.12142857142857141,0.04702380952380952,0.0,0.0,"[[16376, 1396, 3111, 264], [100, 25, 131, 2], [167, 209, 2105, 6], [264, 0, 145, 5]]",0.0,False,0.7615815025096684,0.3573153874880157,0.020477415438200593,0.01447178002894356,0.018716077110237695,0.8606716770904504,0.9685928905187201,0.7743888021941646,0.026483050847457626,0.015337423312883436,0.09689922480620156,0.5276350419852112,0.3832847778587036,0.8464012866907921,0.01447178002894356,0.018050541516245487,0.012077294685990338
WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8202,4,10,0.05039872408293461,0.12857142857142856,0.03152454780361757,0.0,0.0,"[[15254, 588, 5157, 148], [105, 12, 141, 0], [210, 72, 2191, 14], [252, 4, 152, 6]]",0.0,False,0.7184645766477413,0.32605767236884864,0.023157244089273492,0.020618556701030927,0.0228789323164919,0.8252542739666738,0.9641615574236774,0.7213316309642029,0.02569593147751606,0.01775147928994083,0.046511627906976744,0.4326619273301738,0.28674257296165423,0.8809811017289908,0.020618556701030927,0.03571428571428571,0.014492753623188406
WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8203,4,10,0.027471337004604135,0.12142857142857141,0.037599403578528826,0.0,0.0,"[[16087, 872, 2061, 2127], [113, 35, 109, 1], [300, 157, 1989, 41], [313, 4, 92, 5]]",0.0,False,0.7453303711017856,0.37365340842208106,0.028327167271616768,0.0038639876352395673,0.007200905256660838,0.8475763962065332,0.9568191280556712,0.7607225611197805,0.05279034690799397,0.03277153558052434,0.13565891472868216,0.5903829029385574,0.46788990825688076,0.7997587454764777,0.0038639876352395673,0.0022999080036798527,0.012077294685990338
WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,8204,4,10,0.028439897698209714,0.12142857142857141,0.034523809523809526,0.0,0.0,"[[16885, 722, 3285, 255], [106, 23, 128, 1], [210, 127, 2142, 8], [310, 4, 95, 5]]",0.0,False,0.7839628075372336,0.36381187272440907,0.027602831165544683,0.014641288433382138,0.021516441367697273,0.8735578664183351,0.9642510422020444,0.7984584101763843,0.04056437389770723,0.026255707762557076,0.08914728682170543,0.5264839621482119,0.37911504424778764,0.8612786489746683,0.014641288433382138,0.01858736059479554,0.012077294685990338
WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8200,4,10,0.05157894736842106,0.07142857142857142,0.0725,0.0,0.0,"[[15226, 441, 5380, 100], [110, 26, 122, 0], [235, 194, 2047, 11], [276, 1, 133, 4]]",0.0,False,0.711881839874928,0.32435031261782793,0.035822306238185254,0.015122873345935728,0.023861420213376165,0.823160512515543,0.9608127721335269,0.7200075660850239,0.05652173913043478,0.03927492447129909,0.10077519379844961,0.40259612547939816,0.26646706586826346,0.8230800160836349,0.015122873345935728,0.034782608695652174,0.00966183574879227
WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8201,4,10,0.12081339712918662,0.21428571428571427,0.12633333333333335,0.0,0.0,"[[15946, 318, 4581, 302], [102, 20, 134, 2], [250, 68, 2160, 9], [302, 2, 105, 5]]",0.0,False,0.7459475026742368,0.34373288955926545,0.0368606311229262,0.01366120218579235,0.022259321090706736,0.8448883354968607,0.9606024096385543,0.7540549486924859,0.06006006006006006,0.049019607843137254,0.07751937984496124,0.4563219604943488,0.30945558739255014,0.8685162846803377,0.01366120218579235,0.015723270440251572,0.012077294685990338
WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8202,4,10,0.05444444444444444,0.11428571428571428,0.03626373626373626,0.0,0.0,"[[18641, 419, 1842, 245], [83, 14, 161, 0], [210, 119, 2137, 21], [296, 2, 112, 4]]",0.0,False,0.8555912120464083,0.40093621053715156,0.023089332526719096,0.011695906432748537,0.017467248908296942,0.9233474502811007,0.9693707748309932,0.8814961933134724,0.034482758620689655,0.02527075812274368,0.05426356589147287,0.6342187268140673,0.5025870178739417,0.8592681946119823,0.011695906432748537,0.014814814814814815,0.00966183574879227
WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8203,4,10,0.03191919191919192,0.22857142857142856,0.020678619625988045,0.0,0.0,"[[15985, 243, 3699, 1220], [113, 15, 126, 4], [231, 111, 2125, 20], [257, 0, 150, 7]]",0.0,False,0.7459886447790669,0.34961461750812556,0.02812764918028076,0.008408408408408409,0.014303228442991419,0.847268968807145,0.9637646207645002,0.7558991819170567,0.04784688995215311,0.04065040650406504,0.05813953488372093,0.4949342028647956,0.3483606557377049,0.854443104141536,0.008408408408408409,0.005595523581135092,0.016908212560386472
WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,8204,4,10,0.09818181818181819,0.11428571428571428,0.09166666666666666,0.0,0.0,"[[15447, 410, 5201, 89], [74, 49, 132, 3], [132, 61, 2275, 19], [241, 4, 165, 4]]",0.0,False,0.7313009133547272,0.3544902771996594,0.07022128322028244,0.015122873345935728,0.02698888085648387,0.8340487567830243,0.9718761796904493,0.7304582210242587,0.12531969309462915,0.09351145038167939,0.18992248062015504,0.44346978557504874,0.292679789013251,0.914756735022115,0.015122873345935728,0.034782608695652174,0.00966183574879227
