phase,window,window_before,window_after,seed,n_train_raw,n_val,time_s,F1_N,F1_S,F1_V,F1_F,Macro_F1,Min_Rare_F1,Rare_F1_weighted,best_epoch,n_train_after_resampling
screen,90x144,90,144,104,37854,13141,74.7,0.9343154774876868,0.23824451410658307,0.7667057444314185,0.004020100502512563,0.48582145913205027,0.004020100502512563,0.09770986594414077,1,44681
screen,90x144,90,144,105,37854,13141,174.7,0.9265994452027652,0.26359832635983266,0.4704691191360108,0.03076923076923077,0.4228590303669598,0.03076923076923077,0.12390086900547152,13,44681
screen,90x150,90,150,100,37854,13141,478.9,0.8790208835706811,0.23228346456692914,0.5755939524838013,0.006176016469377252,0.4232685792726972,0.006176016469377252,0.09661899570839802,5,44681
screen,90x150,90,150,101,37854,13141,627.0,0.8558306159004271,0.31596638655462184,0.6368159203980099,0.008862629246676515,0.4543688880249338,0.008862629246676515,0.13170413216985466,9,44681
screen,90x150,90,150,102,37854,13141,886.6,0.9005277395893387,0.26180257510729615,0.43900048995590396,0.009787928221859706,0.40277968321859964,0.009787928221859706,0.1105937869760343,16,44681
screen,90x150,90,150,103,37854,13141,887.5,0.8731094356865433,0.16783216783216784,0.6534753932014206,0.002157497303128371,0.424143623505815,0.002157497303128371,0.06842736551474415,16,44681
screen,90x150,90,150,104,37854,13141,479.8,0.9064229856778842,0.24507658643326038,0.3086142322097378,0.035623409669211195,0.3739343034975234,0.035623409669211195,0.11940468037483087,5,44681
screen,90x150,90,150,105,37854,13141,630.1,0.8941124194623417,0.22846441947565543,0.48333333333333334,0.011516314779270634,0.4043566217626503,0.011516314779270634,0.09829555665782456,9,44681
screen,95x144,95,144,100,37854,13140,480.2,0.8102539298669891,0.15364238410596026,0.7699530516431925,0.003572491813039595,0.43435546435729533,0.003572491813039595,0.06360044873020786,5,44681
screen,95x144,95,144,101,37854,13140,963.2,0.9178765086583872,0.24161073825503357,0.36096895257591266,0.11764705882352941,0.4095258145782157,0.11764705882352941,0.16723253059613108,18,44681
screen,95x144,95,144,102,37854,13140,703.9,0.890272513986645,0.22321428571428573,0.7168091168091169,0.004181913225300575,0.45861945743383703,0.004181913225300575,0.09179486222089464,11,44681
screen,95x144,95,144,103,37854,13140,668.6,0.9146600566572238,0.2018348623853211,0.6178942165101334,0.0016273393002441008,0.4340041187132307,0.0016273393002441008,0.0817103485342749,10,44681
screen,95x144,95,144,104,37854,13140,589.9,0.9418034534214453,0.23504273504273504,0.7222586999343401,0.019184652278177457,0.4795723851691745,0.019184652278177457,0.10552788538400049,8,44681
screen,95x144,95,144,105,37854,13140,368.5,0.8132212008605515,0.2260127931769723,0.35732387227572227,0.008492569002123142,0.3512626088288423,0.008492569002123142,0.09550065867206281,2,44681
confirm,65x110,65,110,1000,37862,13142,166.7,0.9646600654596678,0.22717149220489977,0.6392572944297082,0.042105263157894736,0.4682985288130426,0.042105263157894736,0.11613175477669677,14,44690
