representation_id,method,source_trial,role,seed,train_subset_seed,n_train,n_val,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_N,Precision_S,Precision_V,Precision_F,Recall_N,Recall_S,Recall_V,Recall_F,best_epoch,time_s,n_parameters,cm_json,config_json
CWT_T39,CWT,39,confirmed_method_winner,2001,20260810,4958,13142,0.3443800879239309,0.08979591836734693,0.0,0.796858996244452,0.17959183673469387,0.40106951871657753,0.0,0.9607197459720099,0.4074074074074074,0.26666666666666666,0.0,0.68075,0.11518324607329843,0.8086253369272237,0.0,6,49.814483880996704,90372,"[[8169,62,1521,2248],[195,44,111,32],[139,2,600,1],[0,0,18,0]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2002,20260810,4958,13142,0.3831634497200409,0.1016501739518891,0.03468208092485549,0.9130855083926531,0.1686182669789227,0.41626794258373206,0.03468208092485549,0.9657928983082358,0.8,0.27884615384615385,0.01935483870967742,0.8658333333333333,0.09424083769633508,0.8207547169811321,0.16666666666666666,3,39.262460470199585,90372,"[[10390,9,1454,147],[235,36,108,3],[131,0,609,2],[2,0,13,3]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2003,20260810,4958,13142,0.3530526692464877,0.06490384615384616,0.0,0.9154562059667739,0.12980769230769232,0.36694677871148457,0.0,0.9573403674731672,0.7941176470588235,0.2478713339640492,0.0,0.8770833333333333,0.07068062827225131,0.706199460916442,0.0,1,32.07997727394104,90372,"[[10525,7,1468,0],[247,27,108,0],[218,0,524,0],[4,0,14,0]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2004,20260810,4958,13142,0.38707937799829295,0.13803418803418804,0.06666666666666667,0.9139246023098714,0.2094017094017094,0.35832453361492433,0.06666666666666667,0.9579716765646414,0.5697674418604651,0.24249642686993805,0.08333333333333333,0.87375,0.12827225130890052,0.6859838274932615,0.05555555555555555,1,32.28078627586365,90372,"[[10485,37,1467,11],[224,49,109,0],[233,0,509,0],[3,0,14,1]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2005,20260810,4958,13142,0.3795514048696473,0.10869565217391304,0.0,0.8840119706175751,0.21739130434782608,0.4168023445131879,0.0,0.9695643524965188,0.4435483870967742,0.274796049806784,0.0,0.8123333333333334,0.14397905759162305,0.862533692722372,0.0,3,39.24303317070007,90372,"[[9748,69,1560,623],[205,55,111,11],[101,0,640,1],[0,0,18,0]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2006,20260810,4958,13142,0.3826537101622829,0.11157894736842106,0.0,0.915900936378752,0.2231578947368421,0.39155600953353764,0.0,0.9642528100239544,0.5698924731182796,0.2619589977220957,0.0,0.8721666666666666,0.1387434554973822,0.7749326145552561,0.0,1,32.18021774291992,90372,"[[10466,40,1494,0],[219,53,110,0],[167,0,575,0],[2,0,16,0]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2007,20260810,4958,13142,0.3942389695925592,0.15801274486665093,0.10526315789473684,0.9146532244046585,0.21076233183856502,0.34627716423227645,0.10526315789473684,0.9556847075917181,0.734375,0.23535108958837772,1.0,0.877,0.12303664921465969,0.6549865229110512,0.05555555555555555,1,32.21429133415222,90372,"[[10524,17,1459,0],[227,47,108,0],[256,0,486,0],[5,0,12,1]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2008,20260810,4958,13142,0.3803032174987342,0.11791383219954649,0.0,0.910739313244569,0.23582766439909297,0.37464589235127477,0.0,0.9598412112259971,0.8813559322033898,0.2540826128722382,0.0,0.8664166666666666,0.13612565445026178,0.7129380053908356,0.0,5,46.243257999420166,90372,"[[10397,5,1438,160],[214,52,108,8],[210,2,529,1],[11,0,7,0]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39,CWT,39,confirmed_method_winner,2009,20260810,4958,13142,0.379845038935511,0.09828605200945625,0.05,0.9182516140289653,0.14657210401891252,0.4045564376941664,0.05,0.9634749176125961,0.7560975609756098,0.2719257540603248,0.045454545454545456,0.8770833333333333,0.08115183246073299,0.7897574123989218,0.05555555555555555,2,35.75158882141113,90372,"[[10525,9,1449,17],[242,31,108,1],[152,1,586,3],[5,0,12,1]]","{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
DWT_T7,DWT,7,method_winner_by_primary_objective,2000,20260810,4958,13142,0.36904179115878677,0.061955469506292354,0.0,0.8955895589558955,0.12391093901258471,0.45666666666666667,0.0,0.9735812133072407,0.09831029185867896,0.30336581045172717,0.0,0.8291666666666667,0.16753926701570682,0.9231805929919138,0.0,6,85.64384007453918,90372,"[[9950,585,1455,10],[208,64,109,1],[53,2,685,2],[9,0,9,0]]","{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7,DWT,7,method_winner_by_primary_objective,2001,20260810,4958,13142,0.3435988552742065,0.055164954029204974,0.0,0.846704401927305,0.11032990805840995,0.4173611111111111,0.0,0.9651274394795777,0.06952965235173825,0.28110383536014966,0.0,0.7541666666666667,0.2670157068062827,0.8099730458221024,0.0,5,79.25264930725098,90372,"[[9050,1363,1428,159],[173,102,107,0],[138,2,601,1],[16,0,2,0]]","{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7,DWT,7,method_winner_by_primary_objective,2002,20260810,4958,13142,0.35315302558883166,0.0536150790040336,0.0034482758620689655,0.8565953070954473,0.10378188214599825,0.44878663725181217,0.0034482758620689655,0.9754098360655737,0.0781456953642384,0.29288358700123407,0.0017793594306049821,0.7635833333333333,0.1544502617801047,0.9595687331536388,0.05555555555555555,1,54.96515965461731,90372,"[[9163,695,1588,554],[204,59,115,4],[26,1,712,3],[1,0,16,1]]","{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7,DWT,7,method_winner_by_primary_objective,2003,20260810,4958,13142,0.3541914536158043,0.048864418444597386,0.0,0.8699613473219215,0.09772883688919477,0.44907563025210084,0.0,0.9713316892725031,0.06629318394024276,0.2991491267353336,0.0,0.78775,0.18586387434554974,0.9002695417789758,0.0,5,79.11986541748047,90372,"[[9453,995,1446,106],[203,71,108,0],[69,5,668,0],[7,0,11,0]]","{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7,DWT,7,method_winner_by_primary_objective,2004,20260810,4958,13142,0.36148025895628283,0.07323452484742807,0.0,0.8888188976377953,0.14646904969485613,0.41063308849247987,0.0,0.9659657701711492,0.10980392156862745,0.27727916863486063,0.0,0.8230833333333333,0.2198952879581152,0.7911051212938005,0.0,18,158.59512400627136,90372,"[[9877,674,1418,31],[190,84,108,0],[144,7,587,4],[14,0,4,0]]","{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
