representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,fixed_epochs,train_loss_final,time_s,confusion_json,Accuracy,Weighted_F1,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_N,Precision_S,Precision_V,Precision_F,Recall_N,Recall_S,Recall_V,Recall_F
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7100,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.06427013375995029,97.98658967018127,"[[40983, 244, 1672, 1349], [939, 783, 115, 0], [115, 23, 3078, 4], [363, 2, 12, 11]]",0.9026422232507597,0.9117140801488226,0.5652150057487532,0.27730657619596294,0.012557077625570776,0.0245455419832644,0.9459652848305788,0.5420560747663551,0.7602815857725084,0.012557077625570776,0.9665801886792453,0.7442965779467681,0.6311256920237851,0.008064516129032258,0.9262113541854999,0.4262384322264562,0.9559006211180124,0.028350515463917526
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7101,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.06731280021122896,98.73815846443176,"[[42458, 218, 539, 1033], [925, 831, 80, 1], [125, 31, 3051, 13], [357, 0, 20, 11]]",0.9327470669913267,0.9365220348782064,0.6079407256595306,0.292488920057032,0.015214384508990318,0.02963736298474605,0.9637170451579222,0.5697634556050737,0.883068017366136,0.015214384508990318,0.9679243132337855,0.7694444444444445,0.8268292682926829,0.010396975425330813,0.9595461941782679,0.452367991290147,0.9475155279503106,0.028350515463917526
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7102,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.05525297396092552,98.26201891899109,"[[42273, 166, 536, 1273], [1078, 628, 119, 12], [244, 33, 2937, 6], [367, 0, 12, 9]]",0.9226047934316705,0.9267305234042026,0.575345800244082,0.2410674892902381,0.01066350710900474,0.020855318991919117,0.9584627593243397,0.47147147147147145,0.8607854630715123,0.01066350710900474,0.9615804558482326,0.7593712212817413,0.814927857935627,0.006923076923076923,0.9553652142469716,0.341861731083288,0.912111801242236,0.023195876288659795
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7103,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.06004961213592727,98.85319542884827,"[[42587, 179, 218, 1264], [1512, 253, 71, 1], [188, 13, 3013, 6], [359, 0, 22, 7]]",0.9228663996941219,0.9210961723970521,0.527283652064601,0.11506934061968345,0.008403361344537815,0.016193036354326677,0.9581524062366414,0.22173531989482909,0.9208435207823961,0.008403361344537815,0.9538816467320701,0.5685393258426966,0.9064380264741275,0.005477308294209703,0.9624615801844151,0.1377245508982036,0.9357142857142857,0.01804123711340206
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7104,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.06103042050917987,98.6862006187439,"[[41296, 442, 174, 2336], [1013, 799, 24, 1], [268, 58, 2889, 5], [366, 1, 14, 7]]",0.9053790272271749,0.9215630242145965,0.5939671449506894,0.25725948929002657,0.005115089514066497,0.010128475721447905,0.9472537303162024,0.5094038890659867,0.9140958709065021,0.005115089514066497,0.961646834175535,0.6146153846153846,0.9316349564656562,0.002979991485738612,0.9332851202314228,0.4349482852476865,0.8972049689440994,0.01804123711340206
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7105,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.0734669446570967,98.48031616210938,"[[42571, 289, 672, 716], [1409, 350, 75, 3], [177, 33, 3006, 4], [345, 0, 33, 10]]",0.9244159137101805,0.9202855919033996,0.5285762294768618,0.14841841449283916,0.01784121320249777,0.03353775392870832,0.9593464788732394,0.27899561578318055,0.8581216100485298,0.01784121320249777,0.9566086917441913,0.5208333333333334,0.7939778129952456,0.013642564802182811,0.9620999819200868,0.19052803483941208,0.9335403726708075,0.02577319587628866
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7106,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.06602549584321865,98.2399001121521,"[[41251, 289, 1344, 1364], [723, 1028, 86, 0], [113, 29, 3071, 7], [353, 0, 23, 12]]",0.9128448674863663,0.9228072547389095,0.6010813071181862,0.3297415884392895,0.01355166572557877,0.026546387315578356,0.9517118863049095,0.6459315111530003,0.7931301652892562,0.01355166572557877,0.9719839773798303,0.763744427934621,0.6788240495137047,0.008676789587852495,0.9322681251129995,0.5596080566140447,0.9537267080745342,0.030927835051546393
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7107,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.055729260090171796,98.48554539680481,"[[42360, 156, 379, 1353], [954, 746, 137, 0], [215, 47, 2953, 5], [365, 0, 18, 5]]",0.9269716056587447,0.9327584388949427,0.5957486647737711,0.27062291960741947,0.0057110222729868645,0.011301523433239206,0.9611762837239909,0.5355348169418521,0.8805725361562546,0.0057110222729868645,0.9650521711395635,0.78609062170706,0.8468597648408374,0.003668378576669112,0.9573314048092569,0.4060968971148612,0.9170807453416149,0.01288659793814433
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7108,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.05392841053215163,98.62734174728394,"[[42429, 287, 545, 987], [1366, 402, 69, 0], [220, 28, 2966, 6], [364, 0, 17, 7]]",0.9217394804097157,0.9206620399338834,0.5381344305421711,0.16244338428277733,0.010086455331412104,0.019546621192177184,0.9574734561702416,0.31480031323414254,0.8701774974328884,0.010086455331412104,0.9560602987899682,0.5606694560669456,0.8245760355852099,0.007,0.9588907973241728,0.21883505715841045,0.9211180124223602,0.01804123711340206
STFT_2D,BILSTM2D_T7_BOTH,BASELINE_CE,baseline,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",7109,,,,318885,51004,"{""N"": 45858, ""S"": 944, ""V"": 3788, ""F"": 414}",10,0.0514899436682416,98.44010782241821,"[[40625, 204, 1255, 2164], [1080, 601, 155, 1], [135, 10, 3070, 5], [360, 0, 20, 8]]",0.8915541424345481,0.9052268761239787,0.5486715941834235,0.22973911070513703,0.006235385814497272,0.012301536028942383,0.9398713677586527,0.45324283559577677,0.7953367875647669,0.006235385814497272,0.9626777251184834,0.7374233128834355,0.6822222222222222,0.0036730945821854912,0.9181205930211535,0.3271638541099619,0.953416149068323,0.020618556701030927
STFT_2D,BILSTM2D_T7_BOTH,WGAN_GP_X5,wgan_gp,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",7100,1530000,1530000,1,318885,56436,"{""N"": 45858, ""S"": 4720, ""V"": 3788, ""F"": 2070}",10,0.05873391237463633,108.99240779876709,"[[42823, 215, 614, 596], [1118, 660, 58, 1], [208, 38, 2964, 10], [360, 1, 14, 13]]",0.9349405348841889,0.9330690818855369,0.5833626270742327,0.25280958439355383,0.025793650793650792,0.04895562754353157,0.964949243439954,0.4798255179934569,0.862882096069869,0.025793650793650792,0.9621200206699768,0.7221006564551422,0.812054794520548,0.020967741935483872,0.967795154583258,0.3592814371257485,0.9204968944099379,0.03350515463917526
STFT_2D,BILSTM2D_T7_BOTH,WGAN_GP_X5,wgan_gp,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",7101,1530100,1530100,1,318885,56436,"{""N"": 45858, ""S"": 4720, ""V"": 3788, ""F"": 2070}",10,0.05901664970645917,108.38029670715332,"[[42385, 317, 554, 992], [1211, 460, 166, 0], [211, 39, 2968, 2], [368, 0, 15, 5]]",0.9220212102308172,0.9220765399180197,0.5425265018215759,0.17699351932801244,0.007209805335255948,0.014125920296030154,0.9586872193886206,0.34677723332076893,0.8574317492416582,0.007209805335255948,0.9594793435200906,0.5637254901960784,0.8015122873345936,0.005005005005005005,0.9578964020972699,0.25040827436037016,0.9217391304347826,0.01288659793814433
STFT_2D,BILSTM2D_T7_BOTH,WGAN_GP_X5,wgan_gp,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",7102,1530200,1530200,1,318885,56436,"{""N"": 45858, ""S"": 4720, ""V"": 3788, ""F"": 2070}",10,0.048544733510553294,108.1041533946991,"[[41613, 186, 2003, 446], [958, 575, 303, 1], [148, 37, 3034, 1], [360, 1, 24, 3]]",0.910087939951301,0.9106001909301931,0.5258383932143255,0.22170922099978116,0.007151370679380214,0.014072069389578104,0.9530385791336012,0.4362670713201821,0.7068965517241379,0.007151370679380214,0.9659694978992084,0.7196495619524406,0.5656226696495152,0.0066518847006651885,0.9404492858434279,0.3130103429504627,0.9422360248447205,0.007731958762886598
STFT_2D,BILSTM2D_T7_BOTH,WGAN_GP_X5,wgan_gp,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",7103,1530300,1530300,1,318885,56436,"{""N"": 45858, ""S"": 4720, ""V"": 3788, ""F"": 2070}",10,0.053839486060651386,108.45791840553284,"[[42349, 229, 1043, 627], [1322, 267, 248, 0], [161, 15, 3041, 3], [358, 2, 24, 4]]",0.9188618115227497,0.9132523752225711,0.49889265702486074,0.11753091560144897,0.007827788649706457,0.015134231278828372,0.9577104864424795,0.2272340425531915,0.8027983104540655,0.007827788649706457,0.9583389907218828,0.52046783625731,0.69811753902663,0.006309148264984227,0.9570828060025312,0.14534567229178008,0.9444099378881987,0.010309278350515464
STFT_2D,BILSTM2D_T7_BOTH,WGAN_GP_X5,wgan_gp,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",7104,1530400,1530400,1,318885,56436,"{""N"": 45858, ""S"": 4720, ""V"": 3788, ""F"": 2070}",10,0.049804817122653285,108.28637838363647,"[[42663, 184, 649, 752], [770, 1023, 44, 0], [204, 30, 2982, 4], [363, 0, 21, 4]]",0.9392067293180126,0.9414813729206613,0.6254469726145172,0.3362754721515056,0.006968641114982578,0.013792870986770032,0.9668887680174055,0.6655823031880286,0.8623481781376519,0.006968641114982578,0.9696136363636364,0.8270008084074374,0.8068181818181818,0.005263157894736842,0.9641791719399747,0.5568862275449101,0.9260869565217391,0.010309278350515464
