representation,config_id,role,seed,record_id,n_beats,confusion_json,Accuracy,Support_N,Predicted_N,TP_N,FP_N,FN_N,Precision_N,Recall_N,F1_N,Support_S,Predicted_S,TP_S,FP_S,FN_S,Precision_S,Recall_S,F1_S,Support_V,Predicted_V,TP_V,FP_V,FN_V,Precision_V,Recall_V,F1_V,Support_F,Predicted_F,TP_F,FP_F,FN_F,Precision_F,Recall_F,F1_F,Macro_F1_present_classes,Rare_Macro_present_classes,Min_Rare_present_classes
RAW_1D,BASELINE_CE,baseline,7102,231,1571,"[[1553, 7, 8, 0], [1, 0, 0, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",0.9891788669637174,1568,1554,1553,1,15,0.9993564993564994,0.9904336734693877,0.9948750800768738,1,8,0,8,1,0.0,0.0,0.0,2,9,1,8,1,0.1111111111111111,0.5,0.18181818181818182,0,0,0,0,0,,,,0.3922310872983519,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7102,232,1780,"[[396, 0, 2, 0], [114, 7, 1261, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.22640449438202248,398,510,396,114,2,0.7764705882352941,0.9949748743718593,0.8722466960352423,1382,7,7,0,1375,1.0,0.005065123010130246,0.010079193664506839,0,1263,0,1263,0,0.0,,,0,0,0,0,0,,,,0.44116294484987456,0.010079193664506839,0.010079193664506839
RAW_1D,BASELINE_CE,baseline,7102,233,3077,"[[2131, 0, 86, 12], [2, 0, 5, 0], [194, 19, 611, 6], [4, 0, 1, 6]]",0.8930776730581735,2229,2331,2131,200,98,0.9141999141999142,0.9560340960071781,0.9346491228070175,7,19,0,19,7,0.0,0.0,0.0,830,703,611,92,219,0.8691322901849218,0.736144578313253,0.7971298108284409,11,24,6,18,5,0.25,0.5454545454545454,0.34285714285714286,0.5186590191231504,0.17142857142857143,0.0
RAW_1D,BASELINE_CE,baseline,7102,234,2753,"[[2699, 0, 0, 1], [41, 8, 0, 1], [0, 0, 3, 0], [0, 0, 0, 0]]",0.9843806756265892,2700,2740,2699,41,1,0.9850364963503649,0.9996296296296296,0.9922794117647059,50,8,8,0,42,1.0,0.16,0.27586206896551724,3,3,3,0,0,1.0,1.0,1.0,0,2,0,2,0,0.0,,,0.7560471602434077,0.27586206896551724,0.27586206896551724
RAW_1D,BASELINE_CE,baseline,7103,100,2272,"[[2238, 0, 0, 0], [3, 30, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.9986795774647887,2238,2241,2238,3,0,0.998661311914324,1.0,0.999330207635633,33,30,30,0,3,1.0,0.9090909090909091,0.9523809523809523,1,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0.9839037200055284,0.9523809523809523,0.9523809523809523
RAW_1D,BASELINE_CE,baseline,7103,103,2084,"[[2082, 0, 0, 0], [1, 1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.9995201535508638,2082,2083,2082,1,0,0.99951992318771,1.0,0.9997599039615847,2,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,,,,0,0,0,0,0,,,,0.8332132853141256,0.6666666666666666,0.6666666666666666
RAW_1D,BASELINE_CE,baseline,7103,105,2567,"[[2500, 0, 24, 2], [0, 0, 0, 0], [2, 5, 34, 0], [0, 0, 0, 0]]",0.9871445266848461,2526,2502,2500,2,26,0.9992006394884093,0.9897070467141726,0.994431185361973,0,5,0,5,0,0.0,,,41,58,34,24,7,0.5862068965517241,0.8292682926829268,0.6868686868686869,0,2,0,2,0,0.0,,,0.8406499361153299,,
RAW_1D,BASELINE_CE,baseline,7103,111,2124,"[[2114, 0, 9, 0], [0, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.9957627118644068,2123,2114,2114,0,9,1.0,0.9957607159679699,0.9978758555581779,0,0,0,0,0,,,,1,10,1,9,0,0.1,1.0,0.18181818181818182,0,0,0,0,0,,,,0.5898470186881799,,
RAW_1D,BASELINE_CE,baseline,7103,113,1794,"[[1788, 0, 0, 0], [2, 0, 4, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.9966555183946488,1788,1790,1788,2,0,0.9988826815642458,1.0,0.9994410285075461,6,0,0,0,6,,0.0,0.0,0,4,0,4,0,0.0,,,0,0,0,0,0,,,,0.49972051425377306,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,117,1534,"[[1533, 0, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.999348109517601,1533,1534,1533,1,0,0.999348109517601,1.0,0.9996739484838605,1,0,0,0,1,,0.0,0.0,0,0,0,0,0,,,,0,0,0,0,0,,,,0.49983697424193024,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7103,121,1863,"[[1860, 0, 1, 0], [1, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.9989264626945786,1861,1861,1860,1,1,0.999462654486835,0.999462654486835,0.999462654486835,1,0,0,0,1,,0.0,0.0,1,2,1,1,0,0.5,1.0,0.6666666666666666,0,0,0,0,0,,,,0.5553764403845006,0.0,0.0
