representation,config_id,role,record_id,n_seeds,n_beats,Accuracy_mean,Macro_F1_present_classes_mean,Rare_Macro_present_classes_mean,Min_Rare_present_classes_mean,Precision_N_mean,Recall_N_mean,F1_N_mean,Precision_S_mean,Recall_S_mean,F1_S_mean,Precision_V_mean,Recall_V_mean,F1_V_mean,Precision_F_mean,Recall_F_mean,F1_F_mean,Accuracy_std,Macro_F1_present_classes_std,Rare_Macro_present_classes_std,Min_Rare_present_classes_std,Precision_N_std,Recall_N_std,F1_N_std,Precision_S_std,Recall_S_std,F1_S_std,Precision_V_std,Recall_V_std,F1_V_std,Precision_F_std,Recall_F_std,F1_F_std,Support_N,Support_S,Support_V,Support_F
RAW_1D,FOCAL_A025_G3,selected_on_DS1,121,10,1863,0.9989264626945786,0.8831540205014836,0.8,0.8,0.9998925308663363,0.999032778076303,0.9994620615044509,0.8888888888888888,0.8,0.8,0.7833333333333333,1.0,0.85,0.0,,,0.0012651758475336408,0.12954867274217952,0.4216370213557839,0.4216370213557839,0.0002265648679146319,0.001286640515569975,0.0006345911002612192,0.3333333333333333,0.4216370213557839,0.4216370213557839,0.28382310609877337,0.0,0.1995364999563108,0.0,,,1861,1,1,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,231,10,1571,0.9900063653723743,0.5017301699515013,0.0,0.0,0.999228605486876,0.9911989795918368,0.9951905098545042,0.0,0.0,0.0,0.6282051282051282,0.55,0.51,,,,0.005508897905389889,0.08662742405907498,0.0,0.0,0.00027048966333281576,0.0055581941649187104,0.0028029569381785953,0.0,0.0,0.0,0.3003942183041021,0.28382310609877337,0.26012817353502227,,,,1568,1,2,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,105,10,2567,0.9796260225944682,0.6998648830149742,,,0.9972538203577622,0.9890736342042755,0.9931440887455952,0.0,,,0.4435772664330539,0.3975609756097561,0.4065856772843531,0.0,,,0.0033814249188695734,0.07714365726648548,,,0.003102487814439908,0.0020881541773399145,0.0019727425389614067,0.0,,,0.12560318061581996,0.20147187918988346,0.15428865252318355,0.0,,,2526,0,41,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,111,10,2124,0.9961393596986816,0.6235533668310265,,,1.0,0.9961375412152614,0.9980641096194288,0.0,,,0.15258870214752568,1.0,0.24904262404262406,,,,0.002019549019729502,0.07969519639576188,,,0.0,0.0020205002910529597,0.0010144247207804118,,,,0.127631400906313,0.0,0.15854201258795925,,,,2123,0,1,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,123,10,1518,0.9976284584980236,0.9922623418111505,,,1.0,0.9976237623762376,0.9988103979080153,0.0,,,0.975,1.0,0.9857142857142858,,,,0.0005555164971749547,0.02255322541312819,,,0.0,0.0005566165298426255,0.00027903303694018283,0.0,,,0.07905694150420949,0.0,0.04517539514526257,,,,1515,0,3,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,212,10,2747,0.991372406261376,0.9955827649370954,,,1.0,0.991372406261376,0.9955827649370954,0.0,,,0.0,,,0.0,,,0.01907468335777585,0.009830913962364468,,,0.0,0.01907468335777585,0.009830913962364468,0.0,,,0.0,,,0.0,,,2747,0,0,0
RAW_1D,FOCAL_A025_G3,selected_on_DS1,221,10,2427,0.9409559126493614,0.9799506958704505,,,0.9997405239718944,0.9303298867552929,0.963438771407729,0.0,,,0.9974985637319659,0.9954545454545455,0.996462620333172,0.0,,,0.030642777437879826,0.009197752058504562,,,0.0005001663821870503,0.036925980597040504,0.02003270340446404,0.0,,,0.005373796933247665,0.004731807852712175,0.0034021113706592058,0.0,,,2031,0,396,0
STFT_2D,BASELINE_CE,baseline,213,10,3250,0.862646153846154,0.4371561183806543,0.009206044889740203,0.0,0.8611068996495133,1.0,0.925349840658267,0.0,0.0,0.0,0.9115728367807456,0.7281818181818182,0.8048625430848698,0.6847282347282347,0.009392265193370166,0.018412089779480407,0.007981833416846041,0.021735060333239378,0.005071085058170171,0.0,0.00863691040936057,0.0,0.004994939149857313,0.0,0.0,0.0,0.026570696676081963,0.11148056117020853,0.07480625525778946,0.20808671834865547,0.005241344188124385,0.010142170116340343,2640,28,220,362
STFT_2D,BASELINE_CE,baseline,233,10,3077,0.5906077348066299,0.3857003623657376,0.004052202377529511,0.0,0.9912271979126842,0.44679228353521755,0.6130194604398335,0.0,0.0,0.0,0.8721520167818188,0.9844578313253012,0.921677584268058,0.00409748534726082,0.39090909090909093,0.008104404755059021,0.050829821349866994,0.015996890506712762,0.00121169431667235,0.0,0.004562734092190096,0.06930014619068119,0.06856793544380797,0.0,0.0,0.0,0.10344838769303578,0.01100504201824736,0.06157052888297775,0.001237960408892052,0.043913262867240704,0.0024233886333447,2229,7,830,11
STFT_2D,BASELINE_CE,baseline,210,10,2648,0.9402190332326285,0.47798626438258174,0.02954461645424643,0.005128205128205128,0.9796120802505077,0.9605534902932673,0.9684942977219773,0.06999999999999999,0.013636363636363636,0.02255026455026455,0.9384246979815037,0.837948717948718,0.8843615268998569,0.03615868560736243,0.05,0.03653896835822832,0.07410906726490044,0.019208047586919297,0.025653394806317835,0.016216808513683994,0.006851690766955762,0.07976661002971054,0.04726767162289185,0.12013367040689342,0.021956631433620363,0.03636827823100291,0.029261640496653255,0.04061043453100614,0.018604455412806677,0.054314414268204284,0.052704627669472995,0.047213174764532094,2421,22,195,10
STFT_2D,BASELINE_CE,baseline,200,10,2600,0.9706153846153847,0.5471947962953791,0.11787094345284,0.03768453768453768,0.963500188542044,0.9992537313432835,0.9810431550411727,0.20753968253968252,0.04,0.06359902976282286,0.9998753117206982,0.9457627118644067,0.9719941432346639,0.15555555555555556,0.25,0.17214285714285715,0.005460996722861135,0.05698967125444588,0.11164375588936366,0.05589277197009281,0.0056686042849084005,0.0005445943157580588,0.002860985413079468,0.17264869294790156,0.030631219449089385,0.04895963190248562,0.00039429896012073076,0.01699521010701711,0.008916143661273204,0.1771690968789108,0.26352313834736496,0.19420312203388942,1742,30,826,2
STFT_2D,BASELINE_CE,baseline,202,10,2136,0.9377340823970037,0.399260906989065,0.023522436673934694,0.0,0.982723270244016,0.9625909752547308,0.9724703028185211,0.5583333333333333,0.025454545454545452,0.04704487334786939,0.42715339517632167,0.9315789473684211,0.5775284517898694,0.0,0.0,0.0,0.020631146569785295,0.030373917351532137,0.03401474927625209,0.0,0.005164529511835544,0.02119817286176634,0.012627478605593625,0.4766783215358364,0.037556202145041614,0.06802949855250418,0.11483671022539797,0.035523608300555405,0.10664957318274457,0.0,0.0,0.0,2061,55,19,1
STFT_2D,BASELINE_CE,baseline,219,10,2154,0.986397400185701,0.4733644739362396,0.0020833333333333333,0.0,0.9931024238960546,0.9954370797310279,0.99426320307022,0.0024390243902439024,0.014285714285714285,0.004166666666666667,0.994439356939357,0.8140625,0.8950280260080719,0.0,0.0,0.0,0.004255226337360359,0.004655342619430718,0.0065880784586841235,0.0,0.0011831645027610771,0.004297491364543558,0.002060606300554132,0.007712872341874097,0.04517539514526256,0.013176156917368247,0.008959340575123207,0.023810686355546788,0.013453141304087722,,0.0,0.0,2082,7,64,1
